,Reviews,Sentiment,Overall Sentiment
0,2. Haldiram is my go to place. I really love their masala dosa and deluxe thali. The taste of their sambhar is delicious and the variety in deluxe thali is also worth the price.,"{'neg': 0.0, 'neu': 0.279, 'pos': 0.721, 'compound': 0.8849}",Positive
1,"3. Haldirams is one of my favourite place to have North Indian foods and chats. We had Masala Dosa and Raj Kachori. Both were amazing. They have sweets, chats, North Indian food, packaged foods too. Connaught place centre has a live pasta counter too. Isn't it amazing? Overall, amazing place for friends and family. Worth the money. Not very expensive","{'neg': 0.0, 'neu': 0.407, 'pos': 0.593, 'compound': 0.9393}",Positive
2,"4. Haldiram is always a safe and best option to order we ordered thier thali, paw bhaji and raj kachori. Everything is great as always.","{'neg': 0.0, 'neu': 0.349, 'pos': 0.651, 'compound': 0.9042}",Positive
3,"5. Haldiram's has all variety of food, from north indian, south indian, italian, chinese and even desserts. It's a one stop place for all the cravings. I personally love its chole bhature and raj kachori. Always great idea for a family dinner their.","{'neg': 0.102, 'neu': 0.512, 'pos': 0.386, 'compound': 0.7964}",Positive
4,6. Haldiram ki raj kachori is something i like the most..all other things are ok for me....a little crowded but other wise nice .....,"{'neg': 0.0, 'neu': 0.577, 'pos': 0.423, 'compound': 0.296}",Positive
5,"7. The best thing about haldiram's is also the worst thing about them. The food served here is tasty, however, it is too oily. I ordered the chole bhatoore. They were tasty, however, the bhatoore was oily. The oil was dripping from the bhatoore as I was eating them.","{'neg': 0.224, 'neu': 0.546, 'pos': 0.23, 'compound': 0.0258}",Neutral
6,8. This place is a heaven for vegetarian people like me,"{'neg': 0.0, 'neu': 0.233, 'pos': 0.767, 'compound': 0.5106}",Positive
7,"9. Tandoori platter is one of the finest eatables that Haldiram serves. It has this paneer tikka, tandoori aloo, kebab, dal makhni, lachha parantha and salad, which is a complete desi diet. I literally loved every bite.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
8,10. Had and amazing time with my Family here. Food and drinks were DELICIOUS! Staff was awesome!,"{'neg': 0.0, 'neu': 0.118, 'pos': 0.882, 'compound': 0.8176}",Positive
9,11. This is our all time mostly favorite option to visit the haldiram have food with family or when you are in a mood to have good food and chatpata food yes my most lovable dish to always order is the chole bhatureeeeee . Oh damnnn what a great satisfaction just loving it,"{'neg': 0.0, 'neu': 0.195, 'pos': 0.805, 'compound': 0.9666}",Positive
